"Plant_Species_Corrected","Plant_Genus","Plant_Species_Generic","Plant_Family_Generic"
"Brachystegia_bussei","Brachystegia","Plant_332","Family_38"
"Brachystegia_mildbraedii","Brachystegia","Plant_333","Family_38"
"Brachystegia_tamarindoides","Brachystegia","Plant_334","Family_38"
"Bussea_occidentalis","Bussea","Plant_335","Family_38"
"Calpocalyx_aubrevillei","Calpocalyx","Plant_336","Family_38"
"Calpocalyx_brevibracteatus","Calpocalyx","Plant_337","Family_38"
"Calpocalyx_dinklagei","Calpocalyx","Plant_338","Family_38"
"Cassia_mannii","Cassia","Plant_339","Family_38"
"Cassia_sieberiana","Cassia","Plant_340","Family_38"
"Cathormion_altissimum","Cathormion","Plant_341","Family_38"
"Cordyla_africana","Cordyla","Plant_342","Family_38"
"Crudia_gabonensis","Crudia","Plant_343","Family_38"
"Crudia_zenkeri","Crudia","Plant_344","Family_38"
"Cynometra_alexandri","Cynometra","Plant_345","Family_38"
"Cynometra_megalophylla","Cynometra","Plant_346","Family_38"
"Dalbergia_hostilis","Dalbergia","Plant_347","Family_38"
"Daniellia_thurifera","Daniellia","Plant_348","Family_38"
"Detarium_macrocarpum","Detarium","Plant_349","Family_38"
"Detarium_microcarpum","Detarium","Plant_350","Family_38"
"Detarium_senegalense","Detarium","Plant_351","Family_38"
"Dialium_aubrevillei","Dialium","Plant_352","Family_38"
"Dialium_corbisieri","Dialium","Plant_353","Family_38"
"Dialium_dinklagei","Dialium","Plant_354","Family_38"
